	arginase+ cells	carbohydrate metabolic cells	chaetal sacs	eleocytes	epidermis	globin+ cells	gut	ldlrr+ cells	lipoxygenase+ cells	lumbrokinase+ cells	metanephridia	muscle	neurons	piwi+ cells	polycystin cells	secretory	unnanotated	vigilin+ cells
PrileiEVm000136t1	0	0	3	4	10	6	30	0	1	2	1	20	11	82	10	0	0	1
PrileiEVm000137t1	0	3	20	10	20	9	47	1	11	4	0	35	42	206	13	0	3	1
PrileiEVm000138t1	1	0	6	0	19	0	22	1	0	0	0	8	6	17	3	0	1	0
PrileiEVm000139t1	0	1	0	0	3	2	7	0	0	0	1	235	8	16	0	0	1	0
PrileiEVm000140t1	0	1	8	2	10	7	29	0	0	1	0	7	9	38	0	0	5	0
PrileiEVm000141t1	0	0	1	0	2	0	3	0	0	0	1	2	5	11	59	0	2	0
PrileiEVm000142t1	1	0	4	1	75	1	6	0	1	0	2	3	2	12	4	0	0	0
PrileiEVm000143t1	0	0	0	3	5	2	59	0	0	2	0	5	3	32	81	0	4	0
PrileiEVm000144t1	1	0	0	2	6	0	2	0	0	0	0	0	8	6	0	0	0	0
PrileiEVm000145t1	0	0	34	2	20	0	2	0	0	0	0	102	0	44	6	0	1	0
PrileiEVm000146t1	0	0	0	1	1	1	106	0	1	0	0	2	4	14	8	0	2	0
PrileiEVm000147t1	2	0	19	39	56	12	103	0	9	3	3	27	29	216	21	0	9	0
PrileiEVm000148t1	2	0	5	0	4	1	9	3	0	0	0	64	32	12	15	0	0	1
PrileiEVm000149t1	4	1	20	2	49	5	44	1	9	6	0	15	17	626	5	2	7	2
PrileiEVm000150t1	2	1	15	6	25	8	48	0	5	2	0	25	10	253	7	0	4	0
PrileiEVm000151t1	0	3	16	10	31	6	30	6	2	0	4	42	24	82	2203	1	19	1
PrileiEVm000152t1	2	1	34	17	49	19	68	2	6	5	2	50	19	297	23	0	10	4
PrileiEVm000153t1	0	2	30	15	57	7	97	0	6	5	0	22	20	102	16	10	7	0
PrileiEVm000154t1	3	6	30	22	112	27	109	2	14	7	3	82	64	561	40	0	17	6
PrileiEVm000155t1	5	4	19	42	107	29	135	1	15	1	5	56	47	524	30	1	10	3
PrileiEVm000156t1	0	2	6	21	42	14	133	0	3	1	3	35	10	166	15	0	8	0
PrileiEVm000157t1	0	0	2	1	5	5	5	0	0	0	0	3	25	15	32	0	1	0
PrileiEVm000158t1	1	0	2	1	5	1	0	0	0	0	5	40	49	80	8	0	3	0
PrileiEVm000159t1	3	0	4	1	5	0	8	0	3	0	0	12	2	28	2	0	0	0
PrileiEVm000160t1	6	2	36	2	222	4	151	0	5	4	1	14	8	83	28	0	6	3
PrileiEVm000161t1	1	1	14	2	105	2	51	1	0	0	0	12	2	43	15	1	5	0
PrileiEVm000162t1	2	7	9	11	24	4	68	2	2	4	2	248	18	181	8	1	6	0
PrileiEVm000163t1	0	0	0	0	3	1	0	0	0	0	0	1	8	6	1	0	0	1
PrileiEVm000164t1	12	12	27	6	79	21	126	12	1	4	1	63	26	406	22	1	9	3
PrileiEVm000165t1	0	1	1	2	7	3	13	0	0	0	0	6	4	86	3	1	0	0
PrileiEVm000166t1	1	2	0	24	1	1	2	6	5	0	0	36	8	115	1	0	4	0
PrileiEVm000167t1	0	0	0	13	1	2	9	0	1	0	0	2	1	23	2	0	0	0
PrileiEVm000168t1	1	0	2	2	6	0	10	4	0	1	0	108	175	18	48	4	4	0
PrileiEVm000169t1	26	1	3	5	18	1	770	0	0	1	1	4	14	26	15	0	5	0
PrileiEVm000170t1	7	6	40	33	124	10	145	4	6	13	1	57	62	1301	34	1	34	7
PrileiEVm000171t1	0	2	2	36	5	100	6	0	0	1	0	4	5	62	2	0	0	0
PrileiEVm000172t1	0	0	9	3	20	4	13	0	3	0	0	19	13	61	4	0	0	0
PrileiEVm000173t1	2	0	12	7	27	20	31	1	5	1	0	83	62	123	37	0	3	0
PrileiEVm000174t1	2	1	6	18	27	12	14	1	10	1	1	38	13	172	5	0	0	0
PrileiEVm000175t1	1	0	2	10	15	6	101	0	1	0	0	14	16	35	9	0	0	0
PrileiEVm000176t1	0	0	2	1	2	2	10	0	0	0	0	289	4	12	1	0	2	1
PrileiEVm000177t1	0	0	5	3	4	5	5	0	1	0	0	411	4	21	0	0	0	0
PrileiEVm000178t1	0	0	5	3	10	1	18	0	1	4	1	7	5	203	3	0	5	3
PrileiEVm000179t1	0	0	1	2	11	1	9	1	0	0	0	12	76	15	2	0	2	0
PrileiEVm000180t1	0	0	0	2	4	0	180	0	0	0	0	4	2	11	3	0	2	1
PrileiEVm000181t1	9	6	41	24	77	10	132	1	15	4	4	45	39	1018	14	0	20	2
PrileiEVm000182t1	1	3	8	3	9	2	29	2	1	3	1	11	12	89	8	0	1	1
PrileiEVm000183t1	5	3	2	2	10	130	11	0	54	2	24	405	6	298	2	0	3	0
PrileiEVm000184t1	4	0	2	3	6	3	14	0	1	0	0	37	192	28	76	3	2	0
PrileiEVm000185t1	2	1	35	38	64	15	93	1	14	2	3	66	43	442	22	2	11	3
PrileiEVm000186t1	1	24	30	8	45	32	82	2	5887	1	1	47	38	206	55	0	4	0
PrileiEVm000187t1	0	0	1	0	118	0	2	0	3	0	1	4	1	4	4	0	3	0
PrileiEVm000188t1	1	0	9	6	21	2	18	0	0	1	0	23	2	63	6	0	4	1
PrileiEVm000189t1	0	0	2	4	2	2	27	0	0	0	1	2	34	28	3	0	2	0
PrileiEVm000190t1	0	0	17	7	25	2	43	0	7	1	2	31	19	211	16	0	6	0
PrileiEVm000191t1	3	3	13	7	27	4	49	3	7	3	1	28	25	112	16	0	4	0
PrileiEVm000192t1	0	0	2	3	5	4	19	0	0	0	1	1	1	19	2	0	1	0
PrileiEVm000193t1	1	3	11	7	23	3	34	0	4	1	0	17	20	177	7	1	9	0
PrileiEVm000194t1	1	1	8	8	15	9	15	0	4	2	0	23	24	92	19	1	3	0
PrileiEVm000195t1	2	14	55	13	95	10	196	4	10	3	7	72	29	319	14	0	13	2
PrileiEVm000196t1	0	0	1	1	2	1	5	0	0	0	0	13	69	8	8	1	0	0
PrileiEVm000197t1	0	3	5	9	23	9	67	0	2	0	3	21	3	95	9	0	3	1
PrileiEVm000198t1	3	0	7	7	3	2	11	2	3	0	0	34	7	51	1	1	2	0
PrileiEVm000199t1	0	0	8	7	8	1	1134	3	4	0	1	20	16	32	274	0	5	0
PrileiEVm000200t1	0	0	8	6	18	5	36	1	1	0	0	19	15	118	4	2	5	0
PrileiEVm000201t1	1	2	3	4	20	9	36	1	9	1	2	16	18	89	13	1	6	1
PrileiEVm000202t1	0	1	4	1	6	1	1	0	2	0	3	226	3	188	2	0	5	0
PrileiEVm000203t1	0	0	2	2	96	2	2	0	8	0	0	8	6	11	3	0	0	0
PrileiEVm000204t1	0	0	10	6	9	5	7	1	3	0	0	18	42	22	6	0	2	0
PrileiEVm000205t1	0	0	9	2	18	4	30	3	8	0	0	10	7	247	4	0	4	2
PrileiEVm000206t1	2	5	22	31	53	11	88	0	11	2	4	45	69	239	48	7	11	3
PrileiEVm000207t1	2	1	44	5	80	3	137	2	0	1	1	40	9	137	17	0	4	1
PrileiEVm000208t1	19	0	1	1	14	0	2	0	0	0	0	1	0	11	0	0	1	0
PrileiEVm000209t1	0	1	9	12	13	3	27	3	2	2	3	26	11	59	2	0	0	0
PrileiEVm000210t1	0	0	1	0	2	0	5	1	1	0	1	2	1	7	10	1	0	0
PrileiEVm000211t1	0	1	1	1	10	1	10	0	2	0	1	2	7	5	275	0	1	0
PrileiEVm000212t1	0	1	1	2	1	4	3	0	0	0	0	53	37	10	37	0	0	0
PrileiEVm000213t1	1	1	1	0	5	1	53	0	3	0	1	1	2	24	70	0	3	0
PrileiEVm000214t1	7	6	65	43	177	35	179	4	23	16	7	261	180	771	102	3	29	2
PrileiEVm000215t1	1	0	18	3	123	1	9	0	1	0	0	2	2	20	4	3	3	0
PrileiEVm000216t1	0	0	7	9	23	5	33	0	1	0	2	13	25	145	10	1	2	0
PrileiEVm000217t1	0	8	8	2	11	4	17	0	1353	0	1	17	3	33	11	0	0	0
PrileiEVm000218t1	0	0	0	0	9	0	7	0	3	0	0	5	4	88	1	0	1	0
PrileiEVm000219t1	2	0	8	3	28	4	13	1	7	4	2	50	38	52	19	1	3	3
PrileiEVm000220t1	0	2	10	12	20	1	29	0	5	1	0	16	13	141	8	2	4	0
PrileiEVm000221t1	2	2	15	11	41	50	61	0	5	2	6	36	7	151	17	0	2	0
PrileiEVm000222t1	0	0	6	0	8	2	15	0	4	0	0	10	4	32	8	0	1	0
PrileiEVm000223t1	1	1	16	6	37	6	194	1	6	0	2	39	32	218	109	0	10	0
PrileiEVm000224t1	2	1	7	6	15	4	17	0	2	0	0	13	4	41	9	0	2	0
PrileiEVm000225t1	0	1	9	1	62	0	5	0	0	0	0	4	2	16	3	0	1	0
PrileiEVm000226t1	5	0	30	4	34	3	40	0	0	1	10	339	8	101	11	1	10	0
PrileiEVm000227t1	1	8	22	13	37	15	44	2	6	7	9	75	89	99	40	0	8	3
PrileiEVm000228t1	5	10	85	37	161	32	259	10	22	12	10	105	119	1365	49	2	25	4
PrileiEVm000229t1	0	3	1	3	4	0	58	1	0	0	1	5	4	19	9	0	0	0
PrileiEVm000230t1	3	0	15	16	14	6	42	0	6	2	1	20	18	136	6	0	13	1
PrileiEVm000231t1	0	0	1	5	3	3	10	0	1	1	0	65	18	32	2	0	0	0
PrileiEVm000232t1	0	0	19	0	39	1	12	0	2	0	1	11	36	10	3	0	1	0
PrileiEVm000233t1	0	0	5	5	14	5	18	0	3	0	0	12	9	100	4	0	6	0
PrileiEVm000234t1	0	0	11	0	3	0	5	0	1	0	0	8	24	16	3	1	2	0
PrileiEVm000235t1	0	0	1	1	32	1	1	0	0	0	1	2	0	8	6	0	1	0
PrileiEVm000236t1	1	0	4	6	9	2	25	0	4	0	0	20	19	53	11	0	0	0
PrileiEVm000237t1	1	1	2	1	5	4	9	1	9	0	0	599	8	34	2	0	3	0
PrileiEVm000238t1	5	0	24	20	72	14	88	0	15	3	3	65	49	541	23	1	13	3
PrileiEVm000239t1	16	1	70	82	32	37	11	11	3	1	8	207	16	125	4	0	6	0
PrileiEVm000240t1	0	1	11	15	29	17	100	1	4	1	0	29	1	61	4	0	3	0
PrileiEVm000241t1	1	0	4	3	16	1	22	0	0	2	0	24	11	56	0	0	4	1
PrileiEVm000242t1	3	0	4	0	3	2	29	0	0	1	1	5	4	24	12	0	5	0
PrileiEVm000243t1	0	2	2	0	4	0	7	0	1	0	0	0	3	34	3	0	2	0
PrileiEVm000244t1	2	0	18	21	26	5	57	1	10	2	1	31	39	127	17	1	5	2
PrileiEVm000245t1	0	6	11	35	20	5	41	2	3	0	1	10	13	118	7	0	2	0
PrileiEVm000246t1	0	1	13	7	35	7	39	2	5	1	2	43	25	158	16	0	15	0
PrileiEVm000247t1	1	1	8	5	22	2	17	0	1	0	0	6	16	230	8	0	7	0
PrileiEVm000248t1	5	9	36	43	118	10	173	4	8	5	5	113	38	360	30	0	24	0
PrileiEVm000249t1	3	12	57	81	140	32	162	0	17	1	10	135	60	459	52	1	10	2
