	arginase+ cells	carbohydrate metabolic cells	chaetal sacs	eleocytes	epidermis	globin+ cells	gut	ldlrr+ cells	lipoxygenase+ cells	lumbrokinase+ cells	metanephridia	muscle	neurons	piwi+ cells	polycystin cells	secretory	unnanotated	vigilin+ cells
PrileiEVm000154t1	5	16	41	55	350	78	244	5	23	18	10	177	128	742	76	8	29	23
PrileiEVm000155t1	13	5	30	80	291	69	269	5	22	11	10	109	89	691	59	5	24	22
PrileiEVm000156t1	1	4	10	42	197	36	304	2	3	4	3	50	18	205	30	4	14	18
PrileiEVm000157t1	0	0	2	2	16	22	8	0	1	0	0	6	44	22	68	0	4	0
PrileiEVm000158t1	2	0	5	3	13	4	6	0	1	1	10	90	97	116	17	0	3	1
PrileiEVm000159t1	3	0	5	4	24	1	19	1	3	1	0	22	9	38	4	1	1	3
PrileiEVm000160t1	14	4	57	5	711	10	330	1	6	11	1	24	19	109	46	2	19	14
PrileiEVm000161t1	1	2	20	3	500	19	101	3	6	1	0	26	6	66	33	5	14	6
PrileiEVm000162t1	4	13	14	22	109	20	140	5	5	8	3	538	32	233	19	3	11	5
PrileiEVm000163t1	0	0	0	4	8	4	3	0	0	1	0	4	37	8	1	1	0	3
PrileiEVm000164t1	28	34	53	24	316	111	300	36	7	12	6	187	74	615	48	8	27	37
PrileiEVm000165t1	1	1	2	4	22	10	25	0	1	0	1	18	14	132	9	3	0	1
PrileiEVm000166t1	1	2	2	56	13	8	9	9	7	0	0	72	17	168	2	1	5	2
PrileiEVm000167t1	0	1	8	35	8	3	25	0	1	1	0	9	1	29	5	0	1	1
PrileiEVm000168t1	1	0	2	3	25	4	16	15	5	1	0	235	381	31	100	12	14	0
PrileiEVm000169t1	51	4	4	5	55	9	2259	0	0	7	1	8	24	43	24	1	5	6
PrileiEVm000170t1	13	10	58	52	368	51	264	7	15	21	4	105	133	1673	69	9	54	28
PrileiEVm000171t1	0	3	3	82	18	517	17	0	3	2	0	7	9	84	4	0	0	0
PrileiEVm000172t1	1	2	20	11	79	22	56	1	11	5	0	50	38	96	18	4	3	6
PrileiEVm000173t1	11	0	15	9	50	56	73	1	6	2	0	141	87	171	55	2	7	4
PrileiEVm000174t1	5	1	11	44	108	34	20	2	27	3	3	58	38	238	9	3	2	0
PrileiEVm000175t1	4	1	5	19	45	12	301	2	2	1	0	26	35	50	17	2	3	0
PrileiEVm000176t1	2	0	6	5	19	13	26	2	6	3	0	716	14	26	7	3	5	3
PrileiEVm000177t1	1	2	11	4	23	25	11	2	2	3	0	1176	21	37	4	2	9	2
PrileiEVm000178t1	0	0	6	10	32	20	36	0	1	6	1	21	11	309	8	0	12	11
PrileiEVm000179t1	2	0	6	4	27	5	36	2	4	4	0	18	204	32	6	1	3	2
PrileiEVm000180t1	0	0	2	2	16	3	759	0	0	1	0	9	7	11	3	2	4	2
PrileiEVm000181t1	10	7	52	43	233	27	202	2	18	13	4	76	79	1327	43	3	35	7
PrileiEVm000182t1	1	3	10	10	53	11	61	3	3	5	1	23	29	148	16	3	5	6
PrileiEVm000183t1	9	5	3	10	32	379	31	11	84	2	37	746	17	420	9	2	7	3
PrileiEVm000184t1	4	4	7	8	29	16	23	9	10	1	0	122	454	63	152	19	12	4
PrileiEVm000185t1	4	13	51	63	253	51	233	2	24	11	4	151	99	596	47	8	26	30
PrileiEVm000186t1	7	30	44	36	94	57	118	3	7672	7	4	68	48	244	65	6	8	8
PrileiEVm000187t1	0	0	8	1	540	1	10	0	5	3	1	6	3	7	9	0	13	3
PrileiEVm000188t1	1	0	21	12	125	11	58	6	3	3	0	56	16	94	11	2	7	2
PrileiEVm000189t1	0	0	5	12	11	10	60	0	1	0	2	8	78	35	12	4	4	2
PrileiEVm000190t1	3	1	17	19	116	22	95	0	9	5	4	45	45	274	26	1	15	8
PrileiEVm000191t1	4	5	25	30	105	25	128	5	10	8	3	56	47	165	31	5	8	5
PrileiEVm000192t1	3	0	6	21	47	12	65	0	0	2	2	8	4	28	6	0	1	0
PrileiEVm000193t1	1	4	17	17	112	29	74	2	9	4	1	53	59	258	20	2	14	7
PrileiEVm000194t1	1	1	16	24	121	24	59	2	13	4	0	57	64	144	43	6	8	13
PrileiEVm000195t1	7	29	84	30	363	39	489	8	25	22	11	236	92	467	34	7	27	28
PrileiEVm000196t1	0	0	2	2	13	1	11	0	1	0	0	24	206	19	15	5	6	14
PrileiEVm000197t1	3	5	12	18	82	33	184	1	4	3	3	35	9	124	27	2	3	20
PrileiEVm000198t1	3	0	11	20	12	3	21	2	6	0	0	67	13	79	3	7	2	1
PrileiEVm000199t1	10	8	14	17	33	17	3428	3	6	14	2	35	32	61	405	2	13	5
PrileiEVm000200t1	1	0	9	24	71	19	78	4	4	0	0	33	30	162	14	5	8	3
PrileiEVm000201t1	8	6	5	22	71	35	83	1	13	4	3	43	67	143	29	8	17	11
PrileiEVm000202t1	2	1	5	4	22	3	7	0	3	0	7	477	10	341	5	0	6	1
PrileiEVm000203t1	0	0	6	2	469	6	15	0	43	1	1	12	16	17	6	0	4	4
PrileiEVm000204t1	2	1	14	22	39	11	22	3	3	1	0	42	110	35	16	4	4	5
PrileiEVm000205t1	0	4	13	6	50	11	47	4	8	4	0	16	19	326	8	1	6	7
PrileiEVm000206t1	6	17	37	58	229	63	215	6	21	9	4	111	154	363	103	31	28	13
PrileiEVm000207t1	6	2	110	14	357	12	296	6	2	5	1	98	22	218	39	5	14	16
PrileiEVm000208t1	55	0	2	2	36	2	7	0	0	0	0	1	1	14	0	0	2	2
PrileiEVm000209t1	0	3	12	27	49	21	73	4	2	8	3	51	32	87	7	4	3	4
PrileiEVm000210t1	0	0	2	0	16	3	7	2	1	0	1	5	3	10	42	1	0	0
PrileiEVm000211t1	1	2	1	2	29	1	17	0	4	0	1	7	10	10	519	1	4	0
PrileiEVm000212t1	1	1	1	6	15	4	7	0	2	0	0	98	125	17	65	0	3	2
PrileiEVm000213t1	1	2	2	2	18	5	189	0	4	0	1	5	10	38	144	0	6	3
PrileiEVm000214t1	12	15	102	84	626	84	373	8	35	33	13	451	380	1057	179	16	59	39
PrileiEVm000215t1	1	1	38	14	434	2	20	1	3	2	1	10	7	29	20	15	12	0
PrileiEVm000216t1	1	3	12	13	75	22	74	1	2	1	2	37	39	202	18	2	3	3
PrileiEVm000217t1	2	8	14	11	20	8	25	1	1854	0	2	20	6	38	12	1	1	2
PrileiEVm000218t1	1	2	0	0	25	6	8	0	6	0	0	7	5	127	4	0	1	1
PrileiEVm000219t1	3	0	11	13	83	20	48	2	9	7	3	149	87	94	48	4	12	43
PrileiEVm000220t1	0	3	15	18	61	11	57	1	8	7	0	33	27	192	15	3	8	9
PrileiEVm000221t1	3	4	32	24	142	188	113	2	16	6	10	63	39	217	30	6	12	3
PrileiEVm000222t1	0	0	6	1	10	4	54	1	4	6	0	14	5	34	19	1	1	4
PrileiEVm000223t1	6	3	25	18	110	34	485	2	8	4	4	73	86	293	178	3	21	4
PrileiEVm000224t1	3	2	11	15	55	18	33	0	6	1	0	26	24	65	19	2	3	7
PrileiEVm000225t1	1	3	22	2	387	3	9	0	4	1	0	16	4	27	9	2	10	4
PrileiEVm000226t1	6	1	53	12	147	21	92	3	3	3	11	620	23	153	20	2	16	1
PrileiEVm000227t1	4	11	26	34	131	38	110	10	11	16	10	218	177	136	70	2	17	69
PrileiEVm000228t1	11	15	99	63	487	81	506	12	35	24	10	212	222	1819	93	9	51	29
PrileiEVm000229t1	0	5	1	4	9	1	102	1	0	2	1	21	7	25	19	1	2	0
PrileiEVm000230t1	4	3	19	19	98	19	73	1	8	5	2	44	42	181	17	3	19	7
PrileiEVm000231t1	0	0	4	13	13	4	19	0	5	1	0	126	48	52	7	0	1	1
PrileiEVm000232t1	1	1	30	2	185	8	57	0	3	2	3	20	77	19	10	1	7	1
PrileiEVm000233t1	2	0	11	15	57	15	39	1	5	1	0	24	31	157	15	6	9	8
PrileiEVm000234t1	0	0	16	3	14	2	7	7	1	1	0	20	83	23	11	7	2	1
PrileiEVm000235t1	0	0	1	1	186	6	14	0	0	0	1	6	2	9	14	4	1	1
PrileiEVm000236t1	2	1	9	9	65	9	50	0	6	1	0	38	32	78	20	1	2	3
PrileiEVm000237t1	2	4	6	10	42	25	39	4	24	5	0	2235	36	74	10	4	10	6
PrileiEVm000238t1	9	0	40	30	218	61	209	3	23	13	3	128	100	741	49	11	21	14
PrileiEVm000239t1	44	2	94	239	75	116	41	30	6	3	17	405	42	190	10	6	12	4
PrileiEVm000240t1	2	2	16	27	99	42	291	1	4	2	0	45	8	71	19	2	5	9
PrileiEVm000241t1	1	2	8	12	68	16	39	2	7	6	0	78	20	88	4	0	8	9
PrileiEVm000242t1	11	1	4	0	21	13	120	1	1	5	2	8	13	40	56	1	5	8
PrileiEVm000243t1	1	2	3	1	19	6	14	0	4	1	0	2	7	50	6	0	3	1
PrileiEVm000244t1	3	3	26	42	135	40	113	3	12	6	2	67	89	186	40	5	9	11
PrileiEVm000245t1	2	12	21	72	76	26	90	3	6	3	2	24	28	163	16	2	6	5
