logFC	AveExpr	t	P.Value	adj.P.Val	B	rank	DGE.pval	DGE.padj
PrileiEVm002956t1	2.55741744294	6.39880180548986	5.44501790192054	0.0000012885022267057	0.0000958052717591264	5.24453499671489	150629.709149598	up	UP
PrileiEVm000253t1	3.49304963734109	5.63699969159999	5.42263620599899	0.00000139744453234163	0.00010232710365031	5.16897251503953	204506.369262975	up	UP
PrileiEVm004828t1	2.57212213534455	5.45148028599602	5.42201918674316	0.00000140057330633012	0.00010232710365031	5.1676774561279	150564.163100552	up	UP
PrileiEVm004899t1	2.22479671606097	4.61961985609517	5.41343466304619	0.00000144482821286428	0.000103031011949676	5.13985721439424	129932.217095501	up	UP
PrileiEVm005927t1	2.64114484942288	5.28957452772138	5.41196180100184	0.00000145255870635104	0.000103031011949676	5.13361793822647	154186.505262801	up	UP
PrileiEVm001391t1	3.64703935883253	5.57089144122524	5.40779459196172	0.00000147465280157579	0.000103031011949676	5.11825575944307	212670.178850267	up	UP
PrileiEVm004300t1	2.31545105141934	5.73911365546392	5.40749507306083	0.00000147625354372421	0.000103031011949676	5.1176730745475	135010.224017086	up	UP
PrileiEVm002470t1	2.94443463174116	4.56629209280271	5.40656985266611	0.00000148120911732561	0.000103031011949676	5.1163348504125	171642.390224145	up	UP
PrileiEVm005652t1	3.45379107045764	5.00017544737808	5.4060903366033	0.00000148378391405746	0.000103031011949676	5.11377471067192	201308.679726338	up	UP
PrileiEVm002670t1	2.75133900154636	4.79897807654146	5.39682997327954	0.00000153438409482973	0.000105145781168481	5.08290678475317	159964.663011765	up	UP
PrileiEVm015073t1	3.11991081814313	5.26159724409437	5.39478109505841	0.00000154580768715012	0.000105145781168481	5.074857443095	181293.167345602	up	UP
PrileiEVm003575t1	3.69921972502457	4.97870028880496	5.39371542384504	0.00000155178253569288	0.000105145781168481	5.07151405828734	214893.930692228	up	UP
PrileiEVm027138t1	2.39243334500416	7.98530626855775	5.37985707713626	0.00000163158954683399	0.000109668922979993	5.01906853462281	138459.426292777	up	UP
PrileiEVm015928t1	2.63808773520892	5.04947919811297	5.3767814398587	0.00000164984362082433	0.000110015762715604	5.014172959115	152548.932752353	up	UP
PrileiEVm013346t1	2.48107742679147	6.19526154485989	5.37241385942798	0.00000167611240051884	0.000110887373142987	4.99691761061335	143299.511054008	up	UP
PrileiEVm016397t1	2.2265140189841	5.5002697706274	5.36896069493073	0.00000169717336218406	0.000111403520227113	4.98687749982575	128475.954941097	up	UP
PrileiEVm009467t1	2.53591583493312	7.04586812181699	5.34120148220931	0.00000187624465629151	0.000122203159706677	4.88869305155949	145224.559193034	up	UP
PrileiEVm009532t1	3.10753543880677	4.4835003993629	5.3302544718609	0.00000195188085522318	0.000126151561119886	4.85700941299275	177426.186962036	up	UP
PrileiEVm008127t1	3.21571225543043	5.46443969645473	5.30389215516991	0.00000214659465901314	0.000137677010114721	4.76513175847181	182274.608489095	up	UP
