	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58
PrileiEVm000051t1	15	18	19	12	7	3	12	8	12	13	2	2	1	3	16	18	7	0	3	10	0	3	5	25	1	0	9	0	11	2	5	3	2	0	1	0	2	0	1	4	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
PrileiEVm000052t1	0	1	0	0	0	2	2	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000053t1	1	0	0	0	1	0	0	0	1	5	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000054t1	13	2	6	0	4	0	1	0	8	9	0	0	0	1	0	4	0	0	2	1	0	0	6	0	0	0	1	0	1	0	4	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
PrileiEVm000055t1	2	0	2	0	0	6	19	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000056t1	5	0	0	0	0	0	1	1	0	57	1	0	2	0	10	22	1	0	1	50	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000057t1	9	3	4	3	9	0	5	0	5	15	0	3	0	2	1	14	1	0	0	5	1	0	0	6	0	0	1	0	2	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000058t1	33	38	25	2	5	2	5	5	25	7	1	1	0	7	14	20	1	0	4	6	2	4	1	10	1	0	3	0	1	0	1	4	1	0	1	0	1	0	0	1	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0
PrileiEVm000059t1	1	4	3	1	1	0	1	0	2	5	0	0	0	0	2	4	2	0	0	2	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000060t1	67	2	0	0	2	0	2	0	0	1	0	7	0	14	0	3	0	0	0	0	9	0	0	1	1	6	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000061t1	1	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000062t1	5	3	4	0	1	0	1	1	1	0	1	0	0	0	4	3	2	0	0	0	0	2	0	5	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000063t1	21	21	18	4	10	6	5	1	15	43	1	2	1	8	29	43	12	1	4	16	3	0	6	32	1	0	14	0	13	1	4	9	1	1	6	0	2	0	1	2	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PrileiEVm000064t1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	2	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000065t1	0	1	2	1	0	0	0	0	0	23	0	0	0	0	13	4	4	0	0	7	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000066t1	8	37	23	4	6	1	2	2	12	17	0	1	0	0	9	16	3	0	2	2	4	0	0	4	0	0	4	0	5	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
PrileiEVm000067t1	11	8	6	2	2	1	3	0	5	19	0	0	1	0	21	8	3	0	3	5	0	0	0	3	0	0	5	0	2	0	1	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
